student_id,counsellor_note
STU00001,Student is performing well. Follow-up required.
STU00002,Needs to improve focus in class. Action plan discussed.
STU00003,"Struggling slightly with core subjects, advised tutoring. Action plan discussed."
STU00004,Student expressed some stress regarding coursework. Action plan discussed.
STU00005,Multiple backlogs. Demotivated. Action plan discussed.
STU00006,Discussed dropping out due to financial stress. Action plan discussed.
STU00007,No further action needed. Action plan discussed.
STU00008,Monitor attendance next month. Follow-up required.
STU00009,No further action needed. Action plan discussed.
STU00010,Family concerns mentioned briefly. Follow-up required.
STU00011,Good academic-social balance. Situation monitored.
STU00012,"Discussed minor career goals, doing fine. Follow-up required."
STU00013,No further action needed. Action plan discussed.
STU00014,Needs to improve focus in class. Action plan discussed.
STU00015,"Discussed minor career goals, doing fine. Situation monitored."
STU00016,Occasional absence noted. Follow-up required.
STU00017,Student is performing well. Action plan discussed.
STU00018,Student is performing well. Follow-up required.
STU00019,Family concerns mentioned briefly. Situation monitored.
STU00020,"Discussed minor career goals, doing fine. Action plan discussed."
STU00021,No further action needed. Follow-up required.
STU00022,No major issues reported. Follow-up required.
STU00023,Discussed dropping out due to financial stress. Action plan discussed.
STU00024,Student expressed some stress regarding coursework. Situation monitored.
STU00025,Student expressed some stress regarding coursework. Situation monitored.
STU00026,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU00027,Emergency contact notified. Follow-up required.
STU00028,Family concerns mentioned briefly. Situation monitored.
STU00029,"Discussed minor career goals, doing fine. Action plan discussed."
STU00030,Good academic-social balance. Follow-up required.
STU00031,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU00032,No further action needed. Follow-up required.
STU00033,Student is performing well. Situation monitored.
STU00034,Good academic-social balance. Follow-up required.
STU00035,Occasional absence noted. Action plan discussed.
STU00036,No major issues reported. Follow-up required.
STU00037,No major issues reported. Situation monitored.
STU00038,Student is performing well. Situation monitored.
STU00039,Student is performing well. Situation monitored.
STU00040,Good academic-social balance. Situation monitored.
STU00041,Student is performing well. Situation monitored.
STU00042,Monitor attendance next month. Action plan discussed.
STU00043,Student is performing well. Follow-up required.
STU00044,Severe lack of attendance. Unresponsive to emails. Situation monitored.
STU00045,Family concerns mentioned briefly. Follow-up required.
STU00046,Good academic-social balance. Action plan discussed.
STU00047,"Discussed minor career goals, doing fine. Action plan discussed."
STU00048,No major issues reported. Situation monitored.
STU00049,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU00050,"Struggling slightly with core subjects, advised tutoring. Situation monitored."
STU00051,"Discussed minor career goals, doing fine. Situation monitored."
STU00052,"Discussed minor career goals, doing fine. Follow-up required."
STU00053,No major issues reported. Situation monitored.
STU00054,Discussed dropping out due to financial stress. Action plan discussed.
STU00055,No major issues reported. Follow-up required.
STU00056,No further action needed. Action plan discussed.
STU00057,"Discussed minor career goals, doing fine. Follow-up required."
STU00058,Severe lack of attendance. Unresponsive to emails. Action plan discussed.
STU00059,Multiple backlogs. Demotivated. Follow-up required.
STU00060,Emergency contact notified. Situation monitored.
STU00061,Family concerns mentioned briefly. Follow-up required.
STU00062,No further action needed. Follow-up required.
STU00063,Multiple backlogs. Demotivated. Follow-up required.
STU00064,No major issues reported. Action plan discussed.
STU00065,Student is performing well. Follow-up required.
STU00066,"Discussed minor career goals, doing fine. Action plan discussed."
STU00067,Needs to improve focus in class. Action plan discussed.
STU00068,Participates actively in class. Follow-up required.
STU00069,Monitor attendance next month. Situation monitored.
STU00070,Family concerns mentioned briefly. Situation monitored.
STU00071,Family concerns mentioned briefly. Action plan discussed.
STU00072,"Discussed minor career goals, doing fine. Follow-up required."
STU00073,Multiple backlogs. Demotivated. Follow-up required.
STU00074,No major issues reported. Action plan discussed.
STU00075,Participates actively in class. Situation monitored.
STU00076,Family concerns mentioned briefly. Follow-up required.
STU00077,Occasional absence noted. Action plan discussed.
STU00078,Family concerns mentioned briefly. Action plan discussed.
STU00079,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU00080,Discussed dropping out due to financial stress. Action plan discussed.
STU00081,Monitor attendance next month. Follow-up required.
STU00082,Good academic-social balance. Follow-up required.
STU00083,Student expressed some stress regarding coursework. Follow-up required.
STU00084,Needs to improve focus in class. Situation monitored.
STU00085,Monitor attendance next month. Situation monitored.
STU00086,No major issues reported. Situation monitored.
STU00087,Occasional absence noted. Follow-up required.
STU00088,Good academic-social balance. Situation monitored.
STU00089,Participates actively in class. Situation monitored.
STU00090,Discussed dropping out due to financial stress. Follow-up required.
STU00091,"Struggling slightly with core subjects, advised tutoring. Follow-up required."
STU00092,Family concerns mentioned briefly. Follow-up required.
STU00093,"Working too many part-time hours, neglecting studies. Action plan discussed."
STU00094,Multiple backlogs. Demotivated. Situation monitored.
STU00095,"Discussed minor career goals, doing fine. Situation monitored."
STU00096,Mental health challenges affecting academics. Action plan discussed.
STU00097,Participates actively in class. Follow-up required.
STU00098,No further action needed. Action plan discussed.
STU00099,No further action needed. Follow-up required.
STU00100,"Discussed minor career goals, doing fine. Action plan discussed."
STU00101,Participates actively in class. Action plan discussed.
STU00102,No major issues reported. Action plan discussed.
STU00103,Discussed dropping out due to financial stress. Situation monitored.
STU00104,Family concerns mentioned briefly. Follow-up required.
STU00105,Monitor attendance next month. Action plan discussed.
STU00106,Good academic-social balance. Follow-up required.
STU00107,Occasional absence noted. Action plan discussed.
STU00108,Participates actively in class. Follow-up required.
STU00109,Occasional absence noted. Follow-up required.
STU00110,Monitor attendance next month. Situation monitored.
STU00111,Student is performing well. Follow-up required.
STU00112,Monitor attendance next month. Situation monitored.
STU00113,"Working too many part-time hours, neglecting studies. Situation monitored."
STU00114,"Discussed minor career goals, doing fine. Action plan discussed."
STU00115,Good academic-social balance. Action plan discussed.
STU00116,Monitor attendance next month. Situation monitored.
STU00117,Good academic-social balance. Follow-up required.
STU00118,Emergency contact notified. Situation monitored.
STU00119,Severe lack of attendance. Unresponsive to emails. Follow-up required.
STU00120,Multiple backlogs. Demotivated. Follow-up required.
STU00121,Occasional absence noted. Follow-up required.
STU00122,Monitor attendance next month. Action plan discussed.
